iter	Passed	Remaining
0	1	159
1	2	144
2	4	137
3	5	124
4	6	121
5	7	122
6	9	121
7	10	122
8	12	123
9	13	122
10	14	121
11	16	118
12	17	115
13	18	113
14	19	111
15	20	109
16	22	108
17	23	107
18	24	105
19	26	104
20	27	102
21	28	100
22	29	98
23	30	97
24	31	95
25	32	93
26	34	92
27	35	91
28	37	92
29	38	90
30	40	89
31	41	87
32	42	86
33	43	84
34	44	83
35	46	81
36	47	80
37	48	78
38	49	77
39	50	76
40	52	75
41	52	73
42	54	71
43	55	70
44	56	69
45	57	67
46	59	66
47	60	65
48	61	63
49	62	62
50	63	61
51	64	59
52	65	58
53	67	57
54	67	55
55	69	54
56	70	52
57	71	51
58	72	50
59	73	49
60	74	47
61	76	46
62	77	45
63	78	44
64	79	42
65	81	41
66	82	40
67	83	39
68	84	37
69	85	36
70	86	35
71	87	34
72	89	32
73	90	31
74	91	30
75	92	29
76	94	28
77	95	26
78	96	25
79	97	24
80	98	23
81	99	21
82	101	20
83	102	19
84	103	18
85	104	16
86	105	15
87	106	14
88	107	13
89	109	12
90	110	10
91	111	9
92	112	8
93	114	7
94	115	6
95	116	4
96	117	3
97	118	2
98	119	1
99	120	0
