iter	Passed	Remaining
0	202	202524
1	203	101789
2	204	68107
3	205	51227
4	206	41087
5	207	34330
6	207	29498
7	208	25887
8	209	23071
9	210	20810
10	210	18962
11	211	17416
12	212	16104
13	212	14976
14	213	13999
15	213	13141
16	214	12385
17	214	11711
18	215	11109
19	215	10566
20	216	10076
21	216	9631
22	217	9224
23	217	8851
24	218	8508
25	221	8281
26	221	7987
27	222	7711
28	222	7455
29	223	7216
30	223	6994
31	224	6785
32	224	6588
33	225	6402
34	225	6226
35	226	6060
36	226	5903
37	227	5755
38	227	5614
39	228	5479
40	228	5352
41	229	5231
42	229	5115
43	230	5004
44	230	4898
45	231	4797
46	231	4700
47	232	4607
48	232	4518
49	233	4434
50	233	4352
51	234	4273
52	234	4197
53	235	4124
54	235	4054
55	236	3986
56	237	3921
57	237	3857
58	238	3796
59	238	3737
60	239	3680
61	239	3625
62	240	3571
63	240	3519
64	241	3468
65	241	3419
66	242	3371
67	242	3325
68	243	3280
69	243	3236
70	244	3193
71	244	3152
72	245	3112
73	245	3072
74	246	3034
75	246	2997
76	247	2962
77	247	2926
78	248	2892
79	248	2858
80	249	2825
81	249	2794
82	249	2760
83	250	2729
84	250	2700
85	252	2686
86	253	2659
87	253	2632
88	254	2605
89	255	2578
90	255	2552
91	256	2526
92	256	2501
93	257	2477
94	257	2453
95	258	2429
96	258	2406
97	258	2383
98	259	2361
99	259	2339
100	260	2318
101	260	2297
102	261	2277
103	261	2257
104	262	2237
105	262	2217
106	263	2199
107	263	2180
108	264	2161
109	264	2143
110	265	2126
111	265	2108
112	266	2091
113	266	2074
114	267	2058
115	268	2042
116	268	2026
117	269	2011
118	269	1995
119	270	1980
120	270	1965
121	271	1950
122	271	1936
123	272	1921
124	272	1907
125	273	1893
126	273	1879
127	273	1866
128	274	1853
129	275	1841
130	275	1828
131	276	1815
132	276	1802
133	277	1790
134	277	1778
135	278	1766
136	278	1754
137	279	1743
138	279	1731
139	280	1720
140	280	1708
141	280	1696
142	281	1686
143	281	1675
144	282	1664
145	282	1654
146	283	1644
147	284	1636
148	284	1627
149	285	1617
150	286	1608
151	286	1598
152	287	1589
153	287	1580
154	288	1570
155	288	1562
156	289	1553
157	289	1544
158	290	1535
159	290	1527
160	291	1517
161	291	1509
162	292	1500
163	292	1492
164	293	1484
165	293	1476
166	294	1468
167	294	1460
168	295	1452
169	295	1444
170	296	1436
171	296	1429
172	297	1421
173	297	1414
174	298	1406
175	298	1399
176	299	1392
177	300	1385
178	300	1379
179	301	1372
180	301	1365
181	302	1358
182	302	1351
183	303	1345
184	304	1339
185	304	1333
186	305	1326
187	305	1320
188	306	1313
189	306	1307
190	307	1300
191	307	1294
192	308	1288
193	308	1282
194	309	1276
195	309	1270
196	310	1264
197	310	1258
198	311	1252
199	311	1246
200	312	1240
201	312	1235
202	313	1229
203	313	1223
204	314	1218
205	314	1212
206	315	1207
207	315	1202
208	316	1197
209	316	1192
210	317	1187
211	317	1181
212	318	1176
213	319	1171
214	319	1166
215	319	1161
216	320	1156
217	320	1151
218	321	1146
219	322	1141
220	322	1137
221	323	1132
222	323	1127
223	324	1122
224	324	1118
225	325	1113
226	325	1108
227	326	1104
228	326	1099
229	327	1094
230	327	1090
231	328	1086
232	328	1082
233	329	1078
234	330	1074
235	330	1070
236	331	1065
237	331	1061
238	332	1057
239	334	1057
240	334	1054
241	335	1050
242	335	1046
243	336	1042
244	336	1038
245	337	1033
246	337	1029
247	338	1025
248	338	1021
249	339	1017
250	339	1014
251	340	1010
252	340	1006
253	341	1002
254	341	998
255	342	994
256	342	991
257	343	987
258	343	983
259	344	981
260	345	977
261	345	974
262	346	970
263	346	967
264	347	963
265	347	960
266	348	956
267	349	953
268	349	949
269	350	946
270	350	943
271	351	939
272	351	936
273	352	932
274	352	929
275	353	926
276	353	923
277	354	919
278	354	916
279	355	913
280	355	910
281	356	906
282	356	903
283	357	900
284	357	897
285	358	894
286	358	891
287	359	888
288	359	885
289	360	882
290	361	879
291	361	876
292	362	873
293	362	871
294	363	868
295	363	865
296	364	862
297	366	863
298	367	861
299	367	858
300	368	855
301	369	852
302	369	850
303	370	847
304	370	844
305	371	841
306	371	839
307	372	836
308	372	833
309	373	830
310	373	828
311	374	825
312	374	822
313	375	820
314	375	817
315	376	814
316	376	812
317	377	809
318	377	806
319	378	804
320	378	801
321	379	798
322	379	796
323	380	793
324	380	791
325	381	788
326	382	786
327	382	783
328	383	781
329	383	778
330	384	776
331	384	773
332	385	771
333	385	769
334	386	766
335	386	764
336	387	761
337	387	759
338	388	756
339	388	754
340	389	752
341	389	750
342	390	747
343	391	745
344	391	743
345	392	741
346	392	738
347	393	736
348	393	734
349	394	731
350	394	729
351	394	727
352	395	724
353	395	722
354	396	720
355	396	718
356	399	719
357	400	718
358	400	715
359	401	713
360	402	711
361	402	709
362	403	707
363	403	705
364	404	703
365	404	701
366	405	699
367	405	697
368	406	695
369	407	693
370	407	690
371	408	688
372	408	686
373	409	684
374	409	682
375	410	680
376	410	678
377	411	676
378	411	674
379	412	672
380	412	670
381	413	668
382	413	666
383	414	664
384	414	662
385	415	660
386	415	658
387	416	656
388	416	654
389	417	653
390	418	651
391	418	649
392	419	647
393	419	645
394	420	643
395	420	641
396	421	639
397	421	637
398	422	635
399	422	634
400	423	632
401	423	630
402	424	628
403	424	626
404	425	624
405	425	622
406	426	621
407	426	619
408	427	617
409	427	615
410	428	613
411	428	611
412	429	610
413	429	608
414	430	606
415	430	604
416	431	603
417	431	601
418	432	599
419	432	597
420	433	596
421	433	594
422	434	592
423	434	590
424	435	589
425	435	587
426	436	585
427	436	583
428	437	582
429	437	580
430	438	578
431	439	577
432	439	575
433	440	573
434	440	572
435	441	570
436	441	568
437	442	567
438	442	565
439	442	563
440	443	562
441	443	560
442	444	558
443	445	557
444	445	556
445	446	554
446	447	553
447	447	551
448	448	549
449	448	548
450	449	546
451	449	545
452	450	543
453	450	542
454	451	540
455	451	539
456	452	537
457	452	535
458	453	534
459	453	532
460	454	531
461	454	529
462	455	528
463	455	526
464	456	525
465	456	523
